ruleID,message,sentence,replacements,offsetInContext,context,offset,errorLength,category,ruleIssueType,Dataset_ID,Dataset_Name,Dataset_Long_Name
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent spherical diameter), cellular carbon content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytoplankton (< 5µm ESD).",[],43,"...mely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), ...",224,13,TYPOS,misspelling,509,all_SeaFlow_cruises_v1_5,"SeaFlow-Based Abundance, Cell Size, Carbon Quotas and Biomass of Prochlorococcus, Synechococcus, Crocospheara and Small Picoeuks (< 5 micron)"
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent spherical diameter), cellular carbon content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytoplankton (< 5µm ESD).",[],43,"...rococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytopla...",254,12,TYPOS,misspelling,509,all_SeaFlow_cruises_v1_5,"SeaFlow-Based Abundance, Cell Size, Carbon Quotas and Biomass of Prochlorococcus, Synechococcus, Crocospheara and Small Picoeuks (< 5 micron)"
UNIT_SPACE,Insert a space between the numerical value and the unit symbol.,"The data set consists of SeaFlow-based cell abundance, cell size (equivalent spherical diameter), cellular carbon content and total carbon biomass for picophytoplankton populations, namely the cyanobacteria Prochlorococcus, Synechococcus and small-sized Crocosphaera (2-5 µm), and small eukaryotic phytoplankton (< 5µm ESD).",['5\xa0µm'],43,"..., and small eukaryotic phytoplankton (< 5µm ESD). Further information can be found ...",315,3,PUNCTUATION,typographical,509,all_SeaFlow_cruises_v1_5,"SeaFlow-Based Abundance, Cell Size, Carbon Quotas and Biomass of Prochlorococcus, Synechococcus, Crocospheara and Small Picoeuks (< 5 micron)"
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,"GEOTRACES is an international program, where scientists from approximately 35 countries are involved.","['RETRACES', 'FOOTRACES', 'GEOTAXES']",0,"GEOTRACES is an international program, where scie...",0,9,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,The basis of GEOTRACES are ship cruises distributed over the global ocean measuring trace elements and isotopes in the full water column.,"['RETRACES', 'FOOTRACES', 'GEOTAXES']",43,...at an unprecedented scale. The basis of GEOTRACES are ship cruises distributed over the g...,290,9,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,The GEOTRACES Intermediate Data Product 2021 (IDP2021) is the result of a community effort and would not exist without the intensive collaboration of the marine geochemical community within the GEOTRACES programme and the willingness of the more than 350 data contributors to release their published or unpublished data as part of this product.,"['RETRACES', 'FOOTRACES', 'GEOTAXES']",43,... isotopes in the full water column. The GEOTRACES Intermediate Data Product 2021 (IDP2021...,419,9,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,The GEOTRACES Intermediate Data Product 2021 (IDP2021) is the result of a community effort and would not exist without the intensive collaboration of the marine geochemical community within the GEOTRACES programme and the willingness of the more than 350 data contributors to release their published or unpublished data as part of this product.,"['RETRACES', 'FOOTRACES', 'GEOTAXES']",43,...marine geochemical community within the GEOTRACES programme and the willingness of the mo...,609,9,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake. ‘programme’ is British English.,The GEOTRACES Intermediate Data Product 2021 (IDP2021) is the result of a community effort and would not exist without the intensive collaboration of the marine geochemical community within the GEOTRACES programme and the willingness of the more than 350 data contributors to release their published or unpublished data as part of this product.,['program'],43,...chemical community within the GEOTRACES programme and the willingness of the more than 35...,619,9,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Third-party users of the data in the GEOTRACES IDP2021 are expected to adhere to the principles outlined in the Fair Use agreement: https://geotraces.webodv.awi.de/IDP2021_FairDataUseStatement.pdf.,"['RETRACES', 'FOOTRACES', 'GEOTAXES']",43,....  Third-party users of the data in the GEOTRACES IDP2021 are expected to adhere to the p...,986,9,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Position and time interpolation of sampling events belonging to the same identified station were performed during the IDP assembling resulting in a representative sampling station (average lat/lon) and average DateTime.,"['Lon', 'on', 'long', 'won', 'low', 'non', 'son', 'Los', 'loan', 'lot', 'Long', 'ton', 'ion', 'lion', 'log', 'Jon', 'Leon', 'Lyon', 'con', 'lone', 'Lin', 'Len', 'Mon', 'eon', 'lob', 'loin', 'LVN', 'loon', 'LPN', 'lorn', 'lox', 'Lou', 'Ron', 'AON', 'CON', 'DON', 'Don', 'HON', 'Hon', 'LAN', 'LBN', 'LCN', 'LLN', 'LN', 'LO', 'LOC', 'LOF', 'LOI', 'LOL', 'LOX', 'LOZ', 'LSN', 'LTN', 'Ln', 'Lot', 'MON', 'NON', 'ON', 'PON', 'SON', 'Son', 'WON', 'don', 'hon', 'lo', 'loo', 'lop', 'yon', 'l on', 'Aon', 'Elon', 'ION', 'LOA', 'LOD', 'León', 'LoC', 'Léon', 'Löw', 'lol', 'in', 'of', 'to', 'for', 'an', 'not', 'one', 'or', 'can', 'you', 'along', 'born', 'go', 'line', 'love', 'no', 'now', 'own', 'so', 'too', 'town', 'OK', 'do', 'down', 'got', 'how', 'land', 'law', 'led', 'lost', 'man', 'men', 'old', 'run', 'top', 'upon', 'win', 'John', 'San', 'alone', 'done', 'gone', 'job', 'join', 'let', 'loss', 'plan', 'ran', 'soon', 'ten', 'God', 'Lord', 'box', 'boy', 'com', 'dog', 'fan', 'flow', 'gun', 'hot', 'iron', 'lay', 'leg', 'link', 'look', 'none', 'nor', 'plot', 'pop', 'slow', 'song', 'sons', 'van', 'zone', 'Bob', 'Born', 'Joe', 'Kong', 'Lee', 'Tom', 'Tony', 'ban', 'bond', 'bone', 'clan', 'coin', 'fun', 'god', 'hop', 'lane', 'lap', 'lie', 'load', 'lock', 'logo', 'loop', 'lose', 'moon', 'row', 'sun', 'tone', 'tons', 'worn', 'Alan', 'Ben', 'CNN', 'Dan', 'LA', 'Land', 'Lane', 'Ltd', 'Moon', 'bin', 'blog', 'blow', 'blown', 'bow', 'cone', 'corn', 'flown', 'horn', 'icon', 'ions', 'lab', 'lb', 'lens', 'loans', 'lord', 'lots', 'loud', 'lung', 'mob', 'monk', 'noun', 'pan', 'pen', 'pin', 'pond', 'pot', 'rod', 'slot', 'tin', 'torn', 'toy', 'zoo', 'Bond', 'Glen', 'Han', 'IOC', 'Jo', 'Joan', 'LCD', 'LED', 'Logan', 'Lt', 'Lynn', 'ROC', 'Rob', 'Sony', 'bloc', 'clone', 'cop', 'cow', 'den', 'dot', 'foe', 'fog', 'fond', 'font', 'fox', 'hoc', 'inn', 'joy', 'lawn', 'lbs', 'lean', 'lemon', 'lend', 'lent', 'lid', 'lions', 'lip', 'lobe', 'logs', 'min', 'mod', 'mono', 'noon', 'nun', 'oh', 'pod', 'pun', 'salon', 'tan', 'toe', 'tow', 'AOL', 'Avon', 'CBN', 'Dion', 'Elton', 'Eton', 'GOP', 'Goa', 'Horn', 'Joy', 'Jun', 'KO', 'LSD', 'LST', 'Lao', 'Laos', 'Liz', 'Lois', 'Lowe', 'Luna', 'Luzon', 'Lyons', 'MSN', 'Monk', 'Mont', 'Nov', 'SOS', 'Sol', 'Wong', 'Zen', 'Zion', 'blond', 'bog', 'bony', 'clown', 'cod', 'colon', 'din', 'flop', 'gin', 'glow', 'gov', 'gown', 'kin', 'lag', 'loft', 'loot', 'lore', 'lows', 'mom', 'neon', 'nod', 'nylon', 'ox', 'oz', 'pony', 'rob', 'rot', 'soy', 'urn', 'vow', 'yen', 'yo', 'Alton', 'Bonn', 'Cong', 'Doe', 'Dow', 'Klan', 'LBC', 'LCC', 'LD', 'LGA', 'LMA', 'LNG', 'LPG', 'Lana', 'Lea', 'Lena', 'Leno', 'Lent', 'Lew', 'Loki', 'Lola', 'Lori', 'Mona', 'Mons', 'Olson', 'RCN', 'ROK', 'SOE', 'Sloan', 'Toni', 'VOC', 'VPN', 'Yong', 'Zoe', 'axon', 'boon', 'bop', 'bun', 'clot', 'col', 'dons', 'fen', 'gen', 'gong', 'hen', 'hog', 'hone', 'lad', 'lax', 'lien', 'loaf', 'loam', 'loci', 'loco', 'login', 'loner', 'longs', 'loom', 'lug', 'lynx', 'melon', 'moi', 'plow', 'ploy', 'pong', 'pylon', 'roe', 'sod', 'sow', 'sown', 'syn', 'woo', 'yin', 'AFN', 'ASN', 'Aron', 'Colon', 'DOA', 'Dons', 'Eldon', 'IOM', 'IPN', 'Jan', 'Joni', 'LBJ', 'LCL', 'LCR', 'LCS', 'LCT', 'LDA', 'LFO', 'LHC', 'LMP', 'LRC', 'LSA', 'LSC', 'LSI', 'LSM', 'LSO', 'LSP', 'Lat', 'Lean', 'Leona', 'Lind', 'Lodi', 'Loren', 'Lorna', 'Lott', 'OE', 'Olin', 'POV', 'SOP', 'Solon', 'Tod', 'VOA', 'Zorn', 'blob', 'blot', 'boa', 'bong', 'boo', 'bot', 'clog', 'cob', 'cog', 'cot', 'cox', 'doc', 'doe', 'eons', 'exon', 'felon', 'foo', 'glen', 'goo', 'jog', 'jun', 'lac', 'lat', 'lib', 'lux', 'lye', 'mop', 'pox', 'roan', 'tot', 'wan', 'woe', 'wow', 'APN', 'CDN', 'DOB', 'Dona', 'ICN', 'LBA', 'LCM', 'LDC', 'LFC', 'LFS', 'LPM', 'LPO', 'LPP', 'LRS', 'LSB', 'Lora', 'MOX', 'Noe', 'Nona', 'Qom', 'RPN', 'VN', 'aloe', 'coo', 'coy', 'floe', 'fob', 'goon', 'hob', 'koan', 'lint', 'lode', 'logon', 'loins', 'loons', 'moan', 'mow', 'ole', 'pow', 'slop', 'talon', 'tong', 'wok', 'xor', 'zen', 'DPN', 'EOF', 'ESN', 'Eloy', 'IOU', 'KOB', 'LGS', 'LOGO', 'Lodz', 'Lome', 'Lvov', 'SLN', 'SOB', 'TPN', 'Zn', 'ain', 'anon', 'clod', 'dona', 'flan', 'flog', 'fop', 'hod', 'honk', 'jot', 'lg', 'lobs', 'loony', 'moo', 'morn', 'mos', 'ooh', 'slob', 'sloe', 'slog', 'sob', 'soc', 'sop', 'sou', 'wont', 'LPNs', 'Leos', 'LyX', 'Olen', 'POB', 'bod', 'cont', 'elan', 'glob', 'gob', 'hons', 'lino', 'logy', 'lope', 'lout', 'peon', 'plop', 'pone', 'sot', 'tony', 'EOE', 'Jpn', 'clop', 'conk', 'gluon', 'halon', 'lank', 'lops', 'nob', 'plod', 'wonk', 'yow', 'Ann', 'LTE', 'Leo', 'ROM', 'Roy', 'SOs', 'dob', 'doz', 'econ', 'fin', 'glop', 'lit', 'loll', 'op', 'sin', 'Orlon', 'cloy', 'conj', 'limn', 'liq', 'lour', 'AAN', 'ABN', 'ACN', 'ADN', 'AEN', 'AGN', 'AHN', 'AJN', 'AKN', 'ALN', 'ALO', 'AMN', 'AN', 'ANN', 'AO', 'AOA', 'AOB', 'AOC', 'AOD', 'AOE', 'AOF', 'AOG', 'AOH', 'AOI', 'AOJ', 'AOK', 'AOM', 'AOO', 'AOP', 'AOQ', 'AOR', 'AOS', 'AOT', 'AOU', 'AOV', 'AOW', 'AOX', 'ARN', 'ATN', 'AUN', 'AVN', 'AWN', 'AXN', 'AYN', 'AZN', 'BBN', 'BCN', 'BDN', 'BFN', 'BGN', 'BIN', 'BKN', 'BLOB', 'BMN', 'BNN', 'BO', 'BOC', 'BOD', 'BOE', 'BOF', 'BOG', 'BOH', 'BOI', 'BOK', 'BOM', 'BOP', 'BOS', 'BOU', 'BOV', 'BOW', 'BOX', 'BOZ', 'BPN', 'BRN', 'BSN', 'BTN', 'BVN', 'BWN', 'BYN', 'BZN', 'Bono', 'CAN', 'CCN', 'CEN', 'CFN', 'CGN', 'CHN', 'CJN', 'CLN', 'CN', 'CO', 'CO2', 'CO3', 'COB', 'COC', 'COD', 'COE', 'COF', 'COG', 'COI', 'COIN', 'COK', 'COL', 'COM', 'COP', 'COQ', 'COU', 'COV', 'CRN', 'CVN', 'CZN', 'Can', 'Co', 'Cod', 'Col', 'Com', 'Conn', 'Cox', 'Coy', 'DCN', 'DFN', 'DIN', 'DN', 'DO', 'DOC', 'DOD', 'DOE', 'DOF', 'DOI', 'DOJ', 'DOM', 'DOP', 'DOS', 'DOT', 'DSN', 'Deon', 'Donn', 'Dot', 'EAN', 'ECN', 'EIN', 'ELN', 'ELO', 'EMN', 'EN', 'EO', 'EOG', 'EOH', 'EOPN', 'EUN', 'EVN', 'FBN', 'FEN', 'FFN', 'FIN', 'FLOT', 'FN', 'FO', 'FOA', 'FOB', 'FOD', 'FOF', 'FOH', 'FOP', 'Flo', 'Fox', 'GDN', 'GFN', 'GLN', 'GN', 'GO', 'GOE', 'GOI', 'GRN', 'Gen', 'Gog', 'HO', 'HOE', 'HOI', 'HOK', 'HOL', 'HOM', 'HOV', 'Halon', 'Ho', 'Hong', 'Hun', 'IAN', 'IDN', 'IFN', 'IGN', 'IIN', 'ILGN', 'ILN', 'IMN', 'IN', 'IOB', 'IOF', 'IOI', 'IOP', 'IOR', 'IOS', 'IOT', 'IOV', 'IRN', 'ISN', 'Ian', 'In', 'Io', 'JDN', 'JO', 'JOC', 'JOJ', 'JOR', 'JPN', 'JSON', 'Job', 'KEN', 'KIN', 'KN', 'KOD', 'KOF', 'KOH', 'KOI', 'KOK', 'KOP', 'KOR', 'KOS', 'KPN', 'Kan', 'Ken', 'L', 'L10', 'L16', 'L59', 'L99', 'LAH', 'LAK', 'LAOG', 'LAR', 'LAT', 'LAU', 'LAW', 'LAWN', 'LAZ', 'LBB', 'LBD', 'LBE', 'LBF', 'LBG', 'LBI', 'LBL', 'LBM', 'LBO', 'LBP', 'LBV', 'LBY', 'LC', 'LC9', 'LCF', 'LCH', 'LCP', 'LCY', 'LDD', 'LDE', 'LDH', 'LDK', 'LDL', 'LDT', 'LDW', 'LE', 'LEA', 'LEB', 'LEC', 'LEF', 'LEJ', 'LEM', 'LEP', 'LER', 'LES', 'LFB', 'LFH', 'LFI', 'LFL', 'LFM', 'LFP', 'LFR', 'LFT', 'LG', 'LGC', 'LGF', 'LGG', 'LGL', 'LGM', 'LGT', 'LGW', 'LH', 'LH2', 'LHB', 'LHI', 'LHR', 'LHS', 'LHV', 'LHW', 'LI', 'LIA', 'LIH', 'LIM', 'LIR', 'LIX', 'LKA', 'LKM', 'LL', 'LLB', 'LLC', 'LLD', 'LLG', 'LLR', 'LMB', 'LMC', 'LMD', 'LME', 'LMK', 'LMNP', 'LMS', 'LMU', 'LMV', 'LN2', 'LNA', 'LNB', 'LND', 'LNE', 'LNH', 'LNI', 'LNO', 'LNR', 'LNT', 'LOOF', 'LOSC', 'LP', 'LPC', 'LPD', 'LPE', 'LPF', 'LPI', 'LPJ', 'LPQ', 'LPR', 'LR', 'LRD', 'LRF', 'LRI', 'LRM', 'LRP', 'LRU', 'LS', 'LS1', 'LS2', 'LS3', 'LS4', 'LSE', 'LSF', 'LSJ', 'LSL', 'LSQ', 'LSW', 'LSX', 'LT', 'LTA', 'LTD', 'LTF', 'LTI', 'LTL', 'LTR', 'LTT', 'LTU', 'LU', 'LUF', 'LUT', 'LV2', 'LVA', 'LVD', 'LVG', 'LVL', 'LVR', 'LVS', 'LXR', 'LY', 'LYD', 'LZB', 'LZH', 'La', 'Lab', 'Lang', 'Las', 'Le', 'Les', 'Li', 'Lie', 'Lina', 'Love', 'Loyd', 'Lr', 'Lu', 'Luz', 'MDN', 'MEN', 'MHN', 'MN', 'MO', 'MOA', 'MOB', 'MOC', 'MOE', 'MOF', 'MOH', 'MOI', 'MOL', 'MOM', 'MOND', 'MOP', 'MOS', 'MOT', 'MOZ', 'MPN', 'MTN', 'MXN', 'MZN', 'Man', 'Min', 'Mn', 'Mo', 'Moe', 'N', 'NBN', 'NEN', 'NGN', 'NHN', 'NIN', 'NLO', 'NNN', 'NO', 'NOA', 'NOE', 'NOI', 'NOK', 'NOR', 'NOS', 'NOU', 'NOW', 'NOX', 'NYLON', 'Nan', 'No', 'Nos', 'O', 'OB', 'OCN', 'OD', 'ODN', 'OH', 'OIN', 'OJ', 'OLO', 'OM', 'OMN', 'ONB', 'OND', 'ONE', 'ONF', 'ONG', 'ONM', 'ONP', 'ONS', 'ONT', 'ONU', 'OO', 'OOM', 'OR', 'ORN', 'OS', 'OT', 'OTN', 'Ob', 'Ono', 'Ont', 'Os', 'Oz', 'PAN', 'PBN', 'PCN', 'PEN', 'PFN', 'PGN', 'PIN', 'PLN', 'PLO', 'PMN', 'PNN', 'PO', 'POA', 'POE', 'POF', 'POH', 'POI', 'POL', 'POM', 'POO', 'POP', 'POR', 'POS', 'POU', 'POW', 'PPN', 'PRN', 'PSN', 'PUN', 'Pan', 'Pen', 'Po', 'Poe', 'Pol', 'RFN', 'RMN', 'RN', 'RNN', 'RO', 'ROA', 'ROI', 'ROL', 'ROR', 'ROS', 'ROT', 'ROV', 'RRN', 'RTN', 'RUN', 'Rn', 'Rod', 'Rom', 'SAN', 'SCN', 'SDN', 'SGN', 'SHN', 'SIN', 'SKN', 'SLO', 'SLOC', 'SMN', 'SN', 'SO', 'SOA', 'SOC', 'SOD', 'SOI', 'SOX', 'STN', 'SVN', 'SYN', 'Sen', 'Sn', 'Soc', 'Sun', 'TAN', 'TCN', 'TGN', 'TMN', 'TN', 'TNN', 'TO', 'TOB', 'TOE', 'TOF', 'TOG', 'TOK', 'TOM', 'TOP', 'TOR', 'TOS', 'TOT', 'TSN', 'TUN', 'TZN', 'UN', 'UO', 'UO2', 'UOB', 'UPN', 'URN', 'USN', 'VDN', 'VIN', 'VLAN', 'VLN', 'VO', 'VOB', 'VOP', 'VOR', 'VOY', 'VOZ', 'VSN', 'Van', 'WOL', 'WTN', 'XSN', 'YMN', 'ZO', 'ZOB', 'awn', 'bob', 'bonk', 'clonk', 'co', 'cons', 'cony', 'cor', 'cos', 'ctn', 'dong', 'dos', 'dun', 'en', 'fol', 'gonk', 'ho', 'hoe', 'hos', 'iOS', 'isn', 'john', 'ken', 'kn', 'l', 'la', 'lain', 'lam', 'lav', 'lbw', 'lea', 'lee', 'lei', 'lii', 'ling', 'lix', 'll', 'loge', 'loos', 'ls', 'ltd', 'lvi', 'lxi', 'mo', 'mot', 'mun', 'n', 'nos', 'o', 'ob', 'oi', 'om', 'ow', 'plonk', 'poi', 'pol', 'pom', 'poo', 'porn', 'pron', 'pwn', 'sen', 'sol', 'tn', 'tog', 'tom', 'tor', 'tron', 'tun', 'vol', 'wog', 'wot', 'yob', 'Alok', 'BOL', 'BSON', 'COA', 'CPN', 'CoP', 'Cohn', 'Colón', 'DOH', 'DOL', 'DoD', 'DoJ', 'DoS', 'EOB', 'EOC', 'EOD', 'EOI', 'EOL', 'EOM', 'EOS', 'FLoC', 'FOC', 'FOS', 'FSN', 'HOA', 'HOC', 'ITN', 'Ilona', 'IoT', 'Jen', 'Jin', 'Keon', 'Kohn', 'L&D', 'L&F', 'LCA', 'LDF', 'LDS', 'LEQ', 'LEV', 'LF', 'LFX', 'LIC', 'LLP', 'LM', 'LMT', 'LMs', 'LOIs', 'LOTR', 'LPA', 'LPL', 'LPS', 'LPs', 'LQ', 'LSU', 'LTC', 'LTG', 'LTS', 'LTV', 'LV', 'LVM', 'LX', 'LXC', 'Leoni', 'Limón', 'Linz', 'Liu', 'Liv', 'LoCs', 'Lomé', 'Loïc', 'Lua', 'Luc', 'Léa', 'Léna', 'Léo', 'MFN', 'MOQ', 'NOC', 'NPN', 'NRN', 'OA', 'OAN', 'OC', 'OG', 'ONR', 'OOO', 'OOP', 'PLOA', 'PN', 'POC', 'PoC', 'PoW', 'Qin', 'SSN', 'Sion', 'SoC', 'TLN', 'TOC', 'TOI', 'ToC', 'ToS', 'UAN', 'UOM', 'UOS', 'VoD', 'Vox', 'WLAN', 'WOC', 'WSN', 'WoW', 'YOY', 'YoY', 'Zoé', 'dox', 'kN', 'mown', 'muon', 'ok', ""ol'"", 'pons', 'vlog', 'vog', 'élan']",43,...sentative sampling station (average lat/lon) and average DateTime.,1341,3,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Position and time interpolation of sampling events belonging to the same identified station were performed during the IDP assembling resulting in a representative sampling station (average lat/lon) and average DateTime.,"['Daytime', 'Dateline', 'FaceTime']",43,...g station (average lat/lon) and average DateTime.,1358,8,TYPOS,misspelling,508,GEOTRACES Seawater,GEOTRACES Intermediate Data Product 2021 - Seawater
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Scatterometer observations for Metop-B and Metop-C ASCAT and their collocated European Centre for Medium-Range Weather Forecasts (ECMWF) model variables are used to calculate temporally-averaged difference fields.,[],43,... degrees horizontal spatial resolution. Scatterometer observations for Metop-B and Metop-C AS...,120,13,TYPOS,misspelling,507,Wind_NRT_hourly,Global Ocean Hourly Sea Surface Wind and Stress
MORFOLOGIK_RULE_EN_US,Possible spelling mistake found.,Scatterometer observations for Metop-B and Metop-C ASCAT and their collocated European Centre for Medium-Range Weather Forecasts (ECMWF) model variables are used to calculate temporally-averaged difference fields.,[],43,...olution. Scatterometer observations for Metop-B and Metop-C ASCAT and their collocated ...,151,7,TYPOS,misspelling,507,Wind_NRT_hourly,Global Ocean Hourly Sea Surface Wind and Stress
